a_mean,a_median,a_pct10,a_pct25,a_pct75,a_pct90,annual,area,area_title,area_type,emp_prse,group,h_mean,h_median,h_pct10,h_pct25,h_pct75,h_pct90,hourly,jobs_1000,loc_quotient,mean_prse,naics,naics_title,occ_code,occ_title,own_code,pct_tot,pct_total,tot_emp,year
30370,25660,16900,19160,36980,52110, ,1,Alabama,2,1.2,major,14.6,12.34,8.13,9.21,17.78,25.05, ,75.59,1.12,1.1,0,Cross-industry,53-0000,Transportation and Material Moving Occupations,5.0,,,137910,2012
99300,88840,49230,65080,119240,161580, ,2,Alaska,2,1.6,major,47.74,42.71,23.67,31.29,57.33,77.68, ,56.241,1.15,1.2,0,Cross-industry,11-0000,Management Occupations,5.0,,,17920,2012
71260,67250,41630,53080,85180,106030, ,2,Alaska,2,2.4,major,34.26,32.33,20.01,25.52,40.95,50.97, ,39.762,0.81,1.0,0,Cross-industry,13-0000,Business and Financial Operations Occupations,5.0,,,12670,2012
71280,69880,42400,53320,87050,102830, ,2,Alaska,2,3.4,major,34.27,33.6,20.39,25.64,41.85,49.44, ,16.485,0.6,1.4,0,Cross-industry,15-0000,Computer and Mathematical Occupations,5.0,,,5250,2012
94960,87190,50400,64510,114370,146070, ,2,Alaska,2,2.8,major,45.66,41.92,24.23,31.02,54.99,70.23, ,27.133,1.5,2.4,0,Cross-industry,17-0000,Architecture and Engineering Occupations,5.0,,,8650,2012
67580,61750,34570,46060,80180,102160, ,2,Alaska,2,3.5,major,32.49,29.69,16.62,22.14,38.55,49.12, ,21.53,2.54,2.3,0,Cross-industry,19-0000,"Life, Physical, and Social Science Occupations",5.0,,,6860,2012
48210,45240,28420,35230,58770,72800, ,2,Alaska,2,4.3,major,23.18,21.75,13.66,16.94,28.26,35, ,21.285,1.47,2.2,0,Cross-industry,21-0000,Community and Social Service Occupations,5.0,,,6780,2012
98230,85110,48330,61530,117430,155480, ,2,Alaska,2,4.7,major,47.23,40.92,23.24,29.58,56.46,74.75, ,5.725,0.73,4.3,0,Cross-industry,23-0000,Legal Occupations,5.0,,,1820,2012
55590,54030,25020,36810,71500,88750, ,2,Alaska,2,3.6,major,26.73,25.98,12.03,17.7,34.38,42.67, ,70.896,1.1,2.6,0,Cross-industry,25-0000,"Education, Training, and Library Occupations",5.0,,,22590,2012
45960,41920,24380,33290,55620,72100, ,2,Alaska,2,4.3,major,22.1,20.15,11.72,16.0,26.74,34.67, ,10.374,0.77,2.5,0,Cross-industry,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",5.0,,,3310,2012
88810,76070,39450,55800,96350,149970, ,2,Alaska,2,4.9,major,42.7,36.57,18.97,26.83,46.32,72.1, ,49.352,0.84,2.8,0,Cross-industry,29-0000,Healthcare Practitioners and Technical Occupations,5.0,,,15730,2012
37640,35380,24220,29900,42800,52900, ,2,Alaska,2,3.4,major,18.1,17.01,11.64,14.37,20.58,25.43, ,25.673,0.85,1.8,0,Cross-industry,31-0000,Healthcare Support Occupations,5.0,,,8180,2012
52860,51730,23470,34780,66760,85140, ,2,Alaska,2,4.5,major,25.42,24.87,11.29,16.72,32.1,40.93, ,25.039,1.02,3.3,0,Cross-industry,33-0000,Protective Service Occupations,5.0,,,7980,2012
24400,21950,17270,18600,28420,36080, ,2,Alaska,2,2.7,major,11.73,10.55,8.3,8.94,13.66,17.35, ,76.278,0.86,1.3,0,Cross-industry,35-0000,Food Preparation and Serving Related Occupations,5.0,,,24310,2012
28940,27390,18580,21740,34790,42470, ,2,Alaska,2,5.4,major,13.91,13.17,8.93,10.45,16.73,20.42, ,33.781,1.04,1.7,0,Cross-industry,37-0000,Building and Grounds Cleaning and Maintenance Occupations,5.0,,,10770,2012
29060,27240,18470,21410,34770,41960, ,2,Alaska,2,4.6,major,13.97,13.1,8.88,10.3,16.71,20.18, ,37.349,1.28,1.7,0,Cross-industry,39-0000,Personal Care and Service Occupations,5.0,,,11900,2012
33880,27870,18760,21840,38860,56090, ,2,Alaska,2,2.7,major,16.29,13.4,9.02,10.5,18.68,26.97, ,81.314,0.77,1.6,0,Cross-industry,41-0000,Sales and Related Occupations,5.0,,,25920,2012
39990,37670,24350,30380,47580,58490, ,2,Alaska,2,1.4,major,19.23,18.11,11.71,14.61,22.88,28.12, ,166.47,1.02,0.7,0,Cross-industry,43-0000,Office and Administrative Support Occupations,5.0,,,53060,2012
50040,43810,25650,34170,65740,87130, ,2,Alaska,2,24.3,major,24.06,21.07,12.33,16.43,31.6,41.89, ,1.116,0.34,11.8,0,Cross-industry,45-0000,"Farming, Fishing, and Forestry Occupations",5.0,,,360,2012
61120,59690,37140,47170,73040,88850, ,2,Alaska,2,2.1,major,29.39,28.7,17.86,22.68,35.11,42.72, ,64.574,1.69,1.1,0,Cross-industry,47-0000,Construction and Extraction Occupations,5.0,,,20580,2012
55320,54790,29830,40310,69930,83490, ,2,Alaska,2,2.8,major,26.6,26.34,14.34,19.38,33.62,40.14, ,47.591,1.22,1.3,0,Cross-industry,49-0000,"Installation, Maintenance, and Repair Occupations",5.0,,,15170,2012
42010,34190,17510,19300,61540,78530, ,2,Alaska,2,2.9,major,20.2,16.44,8.42,9.28,29.59,37.75, ,45.186,0.69,5.6,0,Cross-industry,51-0000,Production Occupations,5.0,,,14400,2012
49830,41380,21940,29830,58440,82930, ,2,Alaska,2,4.7,major,23.96,19.89,10.55,14.34,28.09,39.87, ,76.846,1.14,4.7,0,Cross-industry,53-0000,Transportation and Material Moving Occupations,5.0,,,24490,2012
96050,83560,42030,59130,117550,167400, ,4,Arizona,2,1.2,major,46.18,40.17,20.21,28.43,56.52,80.48, ,56.168,1.15,0.7,0,Cross-industry,11-0000,Management Occupations,5.0,,,135610,2012
63280,57760,33900,43520,75840,98120, ,4,Arizona,2,2,major,30.42,27.77,16.3,20.93,36.46,47.17, ,49.185,1,1.1,0,Cross-industry,13-0000,Business and Financial Operations Occupations,5.0,,,118750,2012
75180,71980,38310,51780,95210,117570, ,4,Arizona,2,3,major,36.14,34.6,18.42,24.9,45.77,56.53, ,29.388,1.07,1.6,0,Cross-industry,15-0000,Computer and Mathematical Occupations,5.0,,,70950,2012
76220,71880,40190,53310,95340,119860, ,4,Arizona,2,3.5,major,36.65,34.56,19.32,25.63,45.84,57.63, ,20.967,1.16,1.6,0,Cross-industry,17-0000,Architecture and Engineering Occupations,5.0,,,50620,2012
55090,49160,28840,37890,68260,88810, ,4,Arizona,2,2.7,major,26.49,23.63,13.87,18.22,32.82,42.7, ,7.27,0.86,1.9,0,Cross-industry,19-0000,"Life, Physical, and Social Science Occupations",5.0,,,17550,2012
40820,37540,22780,29000,48590,62870, ,4,Arizona,2,3.4,major,19.63,18.05,10.95,13.94,23.36,30.23, ,14.051,0.97,1.3,0,Cross-industry,21-0000,Community and Social Service Occupations,5.0,,,33920,2012
88090,68980,34410,45810,110520,169070, ,4,Arizona,2,3.3,major,42.35,33.16,16.55,22.03,53.13,81.28, ,7.358,0.94,4.2,0,Cross-industry,23-0000,Legal Occupations,5.0,,,17760,2012
45140,38640,20640,27220,53210,75890, ,4,Arizona,2,2.4,major,21.7,18.57,9.92,13.09,25.58,36.49, ,58.784,0.91,3.7,0,Cross-industry,25-0000,"Education, Training, and Library Occupations",5.0,,,141930,2012
44910,37720,18490,25370,54190,75400, ,4,Arizona,2,3.1,major,21.59,18.14,8.89,12.2,26.05,36.25, ,12.094,0.9,2.2,0,Cross-industry,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",5.0,,,29200,2012
76580,65770,30330,46120,87670,130040, ,4,Arizona,2,2.4,major,36.82,31.62,14.58,22.17,42.15,62.52, ,55.505,0.95,1.4,0,Cross-industry,29-0000,Healthcare Practitioners and Technical Occupations,5.0,,,134010,2012
29080,27440,19140,22240,33930,39850, ,4,Arizona,2,3.2,major,13.98,13.19,9.2,10.69,16.31,19.16, ,27.108,0.9,1.0,0,Cross-industry,31-0000,Healthcare Support Occupations,5.0,,,65450,2012
43860,39870,19190,25890,56640,74260, ,4,Arizona,2,2.1,major,21.09,19.17,9.23,12.45,27.23,35.7, ,31.739,1.29,3.0,0,Cross-industry,33-0000,Protective Service Occupations,5.0,,,76630,2012
21860,18880,16510,17390,22960,30160, ,4,Arizona,2,1.2,major,10.51,9.08,7.94,8.36,11.04,14.5, ,92.973,1.05,1.5,0,Cross-industry,35-0000,Food Preparation and Serving Related Occupations,5.0,,,224470,2012
23770,21200,16810,18150,26890,35060, ,4,Arizona,2,2,major,11.43,10.19,8.08,8.73,12.93,16.86, ,32.641,1,1.1,0,Cross-industry,37-0000,Building and Grounds Cleaning and Maintenance Occupations,5.0,,,78810,2012
24570,20910,16790,18100,26750,37550, ,4,Arizona,2,3.6,major,11.81,10.05,8.07,8.7,12.86,18.06, ,29.993,1.03,1.1,0,Cross-industry,39-0000,Personal Care and Service Occupations,5.0,,,72410,2012
35490,25540,17190,19090,40110,63960, ,4,Arizona,2,1.7,major,17.06,12.28,8.26,9.18,19.29,30.75, ,111.78,1.05,1.5,0,Cross-industry,41-0000,Sales and Related Occupations,5.0,,,269870,2012
33650,31400,19760,24790,39900,50740, ,4,Arizona,2,1.2,major,16.18,15.1,9.5,11.92,19.18,24.39, ,173.97,1.06,0.4,0,Cross-industry,43-0000,Office and Administrative Support Occupations,5.0,,,420020,2012
21020,18760,16480,17340,22010,27960, ,4,Arizona,2,9.3,major,10.11,9.02,7.92,8.34,10.58,13.44, ,4.618,1.41,2.1,0,Cross-industry,45-0000,"Farming, Fishing, and Forestry Occupations",5.0,,,11150,2012
39770,36750,21660,28330,47570,61470, ,4,Arizona,2,2.4,major,19.12,17.67,10.42,13.62,22.87,29.55, ,41.418,1.08,0.9,0,Cross-industry,47-0000,Construction and Extraction Occupations,5.0,,,100000,2012
43410,40390,22480,30080,54870,68700, ,4,Arizona,2,2.4,major,20.87,19.42,10.81,14.46,26.38,33.03, ,40.87,1.05,0.8,0,Cross-industry,49-0000,"Installation, Maintenance, and Repair Occupations",5.0,,,98670,2012
33430,29660,18280,22190,40960,54060, ,4,Arizona,2,2.9,major,16.07,14.26,8.79,10.67,19.69,25.99, ,43.14,0.65,0.9,0,Cross-industry,51-0000,Production Occupations,5.0,,,104150,2012
34890,28960,17580,20510,41430,57400, ,4,Arizona,2,3,major,16.77,13.92,8.45,9.86,19.92,27.6, ,58.984,0.88,4.3,0,Cross-industry,53-0000,Transportation and Material Moving Occupations,5.0,,,142410,2012
85960,72470,34060,48390,105860,158110, ,5,Arkansas,2,1.3,major,41.33,34.84,16.37,23.27,50.89,76.01, ,45.655,0.93,2.8,0,Cross-industry,11-0000,Management Occupations,5.0,,,52730,2012
58480,53680,30260,38710,72440,93200, ,5,Arkansas,2,1.8,major,28.11,25.81,14.55,18.61,34.83,44.81, ,34.835,0.71,2.2,0,Cross-industry,13-0000,Business and Financial Operations Occupations,5.0,,,40230,2012
62650,60740,33120,44320,78150,94290, ,5,Arkansas,2,3.1,major,30.12,29.2,15.92,21.31,37.57,45.33, ,16.533,0.6,2.5,0,Cross-industry,15-0000,Computer and Mathematical Occupations,5.0,,,19100,2012
62300,59700,33100,43760,76100,95220, ,5,Arkansas,2,4.6,major,29.95,28.7,15.91,21.04,36.59,45.78, ,9.89,0.55,1.0,0,Cross-industry,17-0000,Architecture and Engineering Occupations,5.0,,,11420,2012
55630,50120,27990,37130,68810,87780, ,5,Arkansas,2,3.2,major,26.75,24.1,13.46,17.85,33.08,42.2, ,5.214,0.62,2.2,0,Cross-industry,19-0000,"Life, Physical, and Social Science Occupations",5.0,,,6020,2012
38470,35000,18970,25600,48360,63540, ,5,Arkansas,2,2.4,major,18.49,16.83,9.12,12.31,23.25,30.55, ,11.928,0.83,1.3,0,Cross-industry,21-0000,Community and Social Service Occupations,5.0,,,13780,2012
70540,52260,27980,35460,88700,141670, ,5,Arkansas,2,4.3,major,33.91,25.13,13.45,17.05,42.64,68.11, ,5.739,0.73,4.6,0,Cross-industry,23-0000,Legal Occupations,5.0,,,6630,2012
43440,42100,18040,27600,53840,66770, ,5,Arkansas,2,2.9,major,20.88,20.24,8.68,13.27,25.88,32.1, ,64.961,1.01,2.0,0,Cross-industry,25-0000,"Education, Training, and Library Occupations",5.0,,,75030,2012
40180,34760,18480,24000,49130,65540, ,5,Arkansas,2,2.5,major,19.32,16.71,8.89,11.54,23.62,31.51, ,7.321,0.54,1.8,0,Cross-industry,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",5.0,,,8460,2012
62600,47990,26340,34930,67640,111100, ,5,Arkansas,2,2.1,major,30.1,23.07,12.66,16.79,32.52,53.42, ,63.179,1.08,1.4,0,Cross-industry,29-0000,Healthcare Practitioners and Technical Occupations,5.0,,,72970,2012
22540,21230,16170,18090,24320,30480, ,5,Arkansas,2,2.4,major,10.84,10.2,7.78,8.7,11.69,14.65, ,33.428,1.11,0.9,0,Cross-industry,31-0000,Healthcare Support Occupations,5.0,,,38610,2012
32760,30410,17590,22370,39560,51700, ,5,Arkansas,2,1.9,major,15.75,14.62,8.46,10.76,19.02,24.86, ,20.201,0.82,1.9,0,Cross-industry,33-0000,Protective Service Occupations,5.0,,,23330,2012
18660,17980,15860,16650,19320,23870, ,5,Arkansas,2,1.1,major,8.97,8.64,7.62,8.01,9.29,11.48, ,85.046,0.96,0.7,0,Cross-industry,35-0000,Food Preparation and Serving Related Occupations,5.0,,,98230,2012
21420,19220,16120,17280,23950,30230, ,5,Arkansas,2,1.8,major,10.3,9.24,7.75,8.31,11.52,14.53, ,30.183,0.93,0.8,0,Cross-industry,37-0000,Building and Grounds Cleaning and Maintenance Occupations,5.0,,,34860,2012
20000,18320,15820,16750,21180,28080, ,5,Arkansas,2,2.8,major,9.61,8.81,7.61,8.05,10.18,13.5, ,26.907,0.92,1.2,0,Cross-industry,39-0000,Personal Care and Service Occupations,5.0,,,31080,2012
31470,22070,16540,18030,35470,59260, ,5,Arkansas,2,1.7,major,15.13,10.61,7.95,8.67,17.05,28.49, ,102.41,0.96,1.6,0,Cross-industry,41-0000,Sales and Related Occupations,5.0,,,118280,2012
29210,26640,17480,20680,34790,45310, ,5,Arkansas,2,1,major,14.04,12.81,8.4,9.94,16.73,21.78, ,155.76,0.95,0.7,0,Cross-industry,43-0000,Office and Administrative Support Occupations,5.0,,,179900,2012
27480,23950,17540,20320,33120,42710, ,5,Arkansas,2,5,major,13.21,11.52,8.43,9.77,15.93,20.53, ,4.866,1.48,2.9,0,Cross-industry,45-0000,"Farming, Fishing, and Forestry Occupations",5.0,,,5620,2012
34630,32200,19800,25050,41850,52990, ,5,Arkansas,2,2.5,major,16.65,15.48,9.52,12.05,20.12,25.48, ,41.347,1.08,0.8,0,Cross-industry,47-0000,Construction and Extraction Occupations,5.0,,,47760,2012
37680,35120,20950,26800,45830,59150, ,5,Arkansas,2,1.7,major,18.11,16.89,10.07,12.89,22.04,28.44, ,45.057,1.16,0.7,0,Cross-industry,49-0000,"Installation, Maintenance, and Repair Occupations",5.0,,,52040,2012
30380,27810,18030,21410,36900,46410, ,5,Arkansas,2,2.3,major,14.61,13.37,8.67,10.29,17.74,22.31, ,98.627,1.5,1.1,0,Cross-industry,51-0000,Production Occupations,5.0,,,113920,2012
30540,27160,17410,20570,36440,48790, ,5,Arkansas,2,3.5,major,14.68,13.06,8.37,9.89,17.52,23.46, ,90.917,1.35,1.7,0,Cross-industry,53-0000,Transportation and Material Moving Occupations,5.0,,,105010,2012
122180,107540,51970,73510,152650,#, ,6,California,2,0.6,major,58.74,51.7,24.98,35.34,73.39,#, ,56.501,1.15,0.4,0,Cross-industry,11-0000,Management Occupations,5.0,,,808170,2012
76040,68690,39360,51640,91610,119920, ,6,California,2,0.8,major,36.56,33.02,18.92,24.83,44.05,57.66, ,55.277,1.12,0.4,0,Cross-industry,13-0000,Business and Financial Operations Occupations,5.0,,,790660,2012
91810,88290,46980,65550,115550,143360, ,6,California,2,1.5,major,44.14,42.45,22.59,31.52,55.55,68.93, ,32.991,1.2,0.6,0,Cross-industry,15-0000,Computer and Mathematical Occupations,5.0,,,471890,2012
91590,88400,48340,64890,114700,142800, ,6,California,2,1.8,major,44.03,42.5,23.24,31.2,55.14,68.66, ,22.069,1.22,0.6,0,Cross-industry,17-0000,Architecture and Engineering Occupations,5.0,,,315670,2012
76430,71570,34710,48980,95620,119780, ,6,California,2,3.2,major,36.75,34.41,16.69,23.55,45.97,57.59, ,11.969,1.41,1.0,0,Cross-industry,19-0000,"Life, Physical, and Social Science Occupations",5.0,,,171200,2012
50900,46480,24450,33200,65500,86220, ,6,California,2,2,major,24.47,22.35,11.75,15.96,31.49,41.45, ,15.277,1.06,1.5,0,Cross-industry,21-0000,Community and Social Service Occupations,5.0,,,218510,2012
116680,97320,42360,61810,155320,#, ,6,California,2,1.5,major,56.1,46.79,20.37,29.72,74.67,#, ,8.207,1.05,1.8,0,Cross-industry,23-0000,Legal Occupations,5.0,,,117390,2012
58030,53140,25580,34960,75610,93320, ,6,California,2,0.8,major,27.9,25.55,12.3,16.81,36.35,44.87, ,62.621,0.97,0.8,0,Cross-industry,25-0000,"Education, Training, and Library Occupations",5.0,,,895710,2012
72920,56090,25040,36390,86590,143080, ,6,California,2,3.3,major,35.06,26.97,12.04,17.5,41.63,68.79, ,19.821,1.48,2.9,0,Cross-industry,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",5.0,,,283510,2012
88610,79110,36580,52820,110550,146160, ,6,California,2,1.3,major,42.6,38.03,17.59,25.4,53.15,70.27, ,50.472,0.86,0.7,0,Cross-industry,29-0000,Healthcare Practitioners and Technical Occupations,5.0,,,721930,2012
32090,29580,19800,23500,37790,48250, ,6,California,2,1.2,major,15.43,14.22,9.52,11.3,18.17,23.2, ,25.304,0.84,0.6,0,Cross-industry,31-0000,Healthcare Support Occupations,5.0,,,361930,2012
53010,44720,20100,24740,77260,96690, ,6,California,2,1.2,major,25.49,21.5,9.66,11.89,37.14,46.49, ,24.396,0.99,2.2,0,Cross-industry,33-0000,Protective Service Occupations,5.0,,,348950,2012
22350,19270,17390,18090,23650,31860, ,6,California,2,0.5,major,10.75,9.27,8.36,8.7,11.37,15.32, ,90.69,1.02,0.4,0,Cross-industry,35-0000,Food Preparation and Serving Related Occupations,5.0,,,1297190,2012
28010,24120,18020,19690,33560,44690, ,6,California,2,1.1,major,13.47,11.6,8.67,9.47,16.13,21.49, ,31.602,0.97,0.6,0,Cross-industry,37-0000,Building and Grounds Cleaning and Maintenance Occupations,5.0,,,452020,2012
27100,22640,17740,18990,29540,43260, ,6,California,2,1.5,major,13.03,10.89,8.53,9.13,14.2,20.8, ,24.744,0.85,0.7,0,Cross-industry,39-0000,Personal Care and Service Occupations,5.0,,,353930,2012
41010,28160,18210,19940,46250,79320, ,6,California,2,0.6,major,19.72,13.54,8.75,9.59,22.24,38.13, ,103.12,0.97,0.6,0,Cross-industry,41-0000,Sales and Related Occupations,5.0,,,1475050,2012
38210,35520,20300,26260,46940,59200, ,6,California,2,0.6,major,18.37,17.08,9.76,12.62,22.57,28.46, ,168.02,1.03,0.2,0,Cross-industry,43-0000,Office and Administrative Support Occupations,5.0,,,2403360,2012
20610,18630,17190,17730,19870,26460, ,6,California,2,2.1,major,9.91,8.96,8.27,8.52,9.55,12.72, ,13.787,4.2,0.7,0,Cross-industry,45-0000,"Farming, Fishing, and Forestry Occupations",5.0,,,197210,2012
53820,50750,26830,35420,69450,87850, ,6,California,2,1.1,major,25.87,24.4,12.9,17.03,33.39,42.24, ,32.136,0.84,0.5,0,Cross-industry,47-0000,Construction and Extraction Occupations,5.0,,,459670,2012
48600,45830,24420,32710,61830,75480, ,6,California,2,1,major,23.36,22.04,11.74,15.73,29.72,36.29, ,32.561,0.84,0.4,0,Cross-industry,49-0000,"Installation, Maintenance, and Repair Occupations",5.0,,,465740,2012
34330,29190,18510,21530,42010,58740, ,6,California,2,1,major,16.5,14.03,8.9,10.35,20.2,28.24, ,55.038,0.83,0.5,0,Cross-industry,51-0000,Production Occupations,5.0,,,787240,2012
34170,29040,18250,20780,42000,57810, ,6,California,2,1,major,16.43,13.96,8.77,9.99,20.19,27.8, ,63.389,0.94,0.8,0,Cross-industry,53-0000,Transportation and Material Moving Occupations,5.0,,,906690,2012
113520,100180,51620,70600,140440,#, ,8,Colorado,2,1.2,major,54.58,48.16,24.82,33.94,67.52,#, ,42.752,0.87,0.6,0,Cross-industry,11-0000,Management Occupations,5.0,,,95170,2012
70030,63860,34980,46940,86170,111920, ,8,Colorado,2,1.3,major,33.67,30.7,16.82,22.57,41.43,53.81, ,66.448,1.35,0.6,0,Cross-industry,13-0000,Business and Financial Operations Occupations,5.0,,,147920,2012
84010,80350,43100,60040,105090,129980, ,8,Colorado,2,2.3,major,40.39,38.63,20.72,28.87,50.52,62.49, ,40.818,1.49,1.1,0,Cross-industry,15-0000,Computer and Mathematical Occupations,5.0,,,90870,2012
83320,76810,43950,57740,103360,131450, ,8,Colorado,2,2.3,major,40.06,36.93,21.13,27.76,49.69,63.2, ,23.056,1.27,1.2,0,Cross-industry,17-0000,Architecture and Engineering Occupations,5.0,,,51330,2012
71840,64140,32950,44710,91070,120560, ,8,Colorado,2,2.6,major,34.54,30.83,15.84,21.5,43.78,57.96, ,12.034,1.42,2.2,0,Cross-industry,19-0000,"Life, Physical, and Social Science Occupations",5.0,,,26790,2012
44050,40940,24240,30660,53790,68900, ,8,Colorado,2,1.9,major,21.18,19.69,11.65,14.74,25.86,33.12, ,13.698,0.95,1.3,0,Cross-industry,21-0000,Community and Social Service Occupations,5.0,,,30490,2012
99610,74510,38010,50470,131380,#, ,8,Colorado,2,4.3,major,47.89,35.82,18.27,24.26,63.16,#, ,9.36,1.19,4.5,0,Cross-industry,23-0000,Legal Occupations,5.0,,,20840,2012
50420,44270,24070,32520,60270,77610, ,8,Colorado,2,0.8,major,24.24,21.28,11.57,15.64,28.98,37.31, ,59.3,0.92,2.7,0,Cross-industry,25-0000,"Education, Training, and Library Occupations",5.0,,,132010,2012
48950,41610,19480,26910,61030,85500, ,8,Colorado,2,2.6,major,23.53,20.01,9.37,12.94,29.34,41.11, ,15.857,1.18,1.7,0,Cross-industry,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",5.0,,,35300,2012
74920,64780,33530,48210,85430,118400, ,8,Colorado,2,1.6,major,36.02,31.15,16.12,23.18,41.07,56.92, ,52.831,0.9,1.3,0,Cross-industry,29-0000,Healthcare Practitioners and Technical Occupations,5.0,,,117610,2012
29600,27830,19390,22640,34690,42790, ,8,Colorado,2,2.3,major,14.23,13.38,9.32,10.89,16.68,20.57, ,25.1,0.84,1.2,0,Cross-industry,31-0000,Healthcare Support Occupations,5.0,,,55880,2012
